# RFC 0044 conformance baseline — homing-demo's pre-existing violations, grandfathered to warnings.
# One finding fingerprint per line: '<moduleClass> [<rule>] <message>' (line-number-independent).
# Covers the whole homing-demo crate (browsed by the demo's conformance studio):
#   - the animation demos redraw via rootElement.replaceChildren();
#   - the SVG demos + standard MPA read the view param via URLSearchParams;
#   - two animation modules predate the 250 effective-line global cap;
#   - MovingAnimalGame's audio still uses setTimeout — flagged by the downstream game-loop rule;
#   - DocViewWidget renders markdown via innerHTML.
# Anything NOT here is a NEW violation and fails the build. Regenerate deliberately; list should shrink.
#
hue.captains.singapura.js.homing.demo.es.animation.DancingAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.animation.SpinningAnimals [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [no-dom-destruction] wholesale DOM wipe: rootElement.replaceChildren();
hue.captains.singapura.js.homing.demo.es.game.MovingAnimal [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [max-effective-lines] module exceeds the 250 effective-line limit — split it
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): (function (note, t) { setTimeout(function () { deathSynth.triggerAttackRelease(note, '16n'); }, t); })(notes[di], timing[di]);
hue.captains.singapura.js.homing.demo.es.game.MovingAnimalGame [raf-game-loop] wall-clock timer in a game loop (use requestAnimationFrame): bgmTimer = setTimeout(bgmStep, durationToMs(dur, bgmData.bpm));
hue.captains.singapura.js.homing.demo.es.svg.DecomposedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedSvgDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.es.svg.ExtrudedTurtleDemo [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.studio.DemoStandardMPA [no-raw-href] raw href operation (use href.* API): var sp = new URLSearchParams(window.location.search);
hue.captains.singapura.js.homing.demo.playground.DocViewWidget [view-doctrine] innerHTML/outerHTML write (Pure-Component Views): body.innerHTML = marked.parse(md);

# ---- 2026-08-22: the 0.7.0 view-rule surface (no-inline-style / no-literal-color /
# use-dom-ops-party / view-doctrine / no-raw-href) grandfathered over the pre-existing
# modules AND the WorkspaceMPA-GENERATED appMain boilerplate (mainHost tweaks, error
# fallbacks) that every MPA app inherits — framework debt, tracked upstream. The
# hand-written RFC 0050 grid demo widgets are strict-clean and NOT listed here.
hue.captains.singapura.js.homing.demo.es.animation.AnimalCell [use-dom-ops-party] raw DOM factory (use branch.createElement via the DomOpsParty, not document.create*): var cell = document.createElement("div");
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M388.737873 780.570224c-10.939317-2.003044-18.23719-12.382907-16.289093-23.282263 1.938107-10.851902 12.365424-18.004917 23.389659-16.08679l20.005463 3.666419a7.502673 7.502673 0 0 0 8.723981-6.056585l5.864273-32.807961c1.96558-10.991766 12.532761-18.289639 23.579473-16.369015l11.1616 1.940605c11.074185 1.92562 18.509424 12.40039 16.538849 23.414634l-10.769483 60.258654a19.913054 19.913054 0 0 1-14.813034 15.807063 20.457522 20.457522 0 0 1-8.733971 0.364644l-11.1616-1.940605a20.529951 20.529951 0 0 1-3.057014-0.776741l-44.439103-8.132059z m73.870361-74.232507l-11.1616-1.938107c-2.964605-0.514498-5.75438 1.411122-6.261385 4.240858l-5.864273 32.807961a22.473054 22.473054 0 0 1-26.08203 18.169756l-20.030439-3.666419c-2.894673-0.504507-5.527102 1.303727-6.004136 3.968624-0.489522 2.739824 1.371161 5.384741 4.235863 5.906732l45.705366 8.369327 0.636878 0.242263c0.324683 0.12238 0.669346 0.217288 1.026498 0.274732l11.1616 1.940605c0.804215 0.144859 1.598439 0.104898 2.472585-0.122381 1.938107-0.477034 3.411668-2.008039 3.751337-3.913678l10.77198-60.263649c0.497015-2.797268-1.42361-5.504624-4.358244-6.016624z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M389.619512 414.595122m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M389.674459 340.287688c-2.077971 4.680429-4.230868 11.588683-6.428722 20.667317l21.836175 2.762302c-2.909659-9.270946-5.602029-16.471415-8.052136-21.568936-1.436098-2.984585-2.752312-5.169951-3.886205-6.521132a8.454244 8.454244 0 0 0-0.479532-0.529483c-0.866654 0.986537-1.898146 2.727337-2.98958 5.189932z m27.213424 27.947707a4.995122 4.995122 0 0 1-5.419707 6.361288l-34.965854-4.423181a4.995122 4.995122 0 0 1-4.248351-6.044097c6.131512-27.428215 11.778498-40.16078 21.036956-39.416507 8.469229 0.676839 15.067785 14.403434 23.596956 43.522497z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M392.893815 329.688039c5.117502 0.412098 11.518751 13.729093 19.203746 39.950985l-34.965854-4.42318c5.382244-24.096468 10.637112-35.939902 15.762108-35.527805z" fill="#FFF660"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M394.532215 247.076215c-16.811083 0-30.43278-13.666654-30.432781-30.512703s13.6192-30.512702 30.432781-30.512702 30.43278 13.666654 30.43278 30.512702-13.621698 30.512702-30.43278 30.512703z m0-13.784039c9.905327 0 17.944976-6.770888 17.944975-16.731161s-8.039649-16.693698-17.944975-16.693698-17.944976 6.733424-17.944976 16.693698 8.037151 16.731161 17.944976 16.731161z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M396.68761 619.382634c11.291473 0.641873 15.217639 4.011083 15.409951 15.130225a7.492683 7.492683 0 1 0 14.982868-0.264742c-0.342166-19.648312-10.96679-28.7744-29.546146-29.825873a7.492683 7.492683 0 1 0-0.846673 14.96039z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M402.107317 264.741463m-34.965854 0a34.965854 34.965854 0 1 0 69.931708 0 34.965854 34.965854 0 1 0-69.931708 0Z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M402.107317 307.2C378.65522 307.2 359.64878 288.191063 359.64878 264.741463S378.65522 222.282927 402.107317 222.282927s42.458537 19.008937 42.458537 42.458536-19.011434 42.458537-42.458537 42.458537z m0-14.985366c15.172683 0 27.473171-12.300488 27.473171-27.473171S417.28 237.268293 402.107317 237.268293 374.634146 249.56878 374.634146 264.741463s12.295493 27.473171 27.473171 27.473171z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M402.107317 404.604878m-7.492683 0a7.492683 7.492683 0 1 0 14.985366 0 7.492683 7.492683 0 1 0-14.985366 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M414.727493 489.521951h19.720741a34.963356 34.963356 0 0 1 33.412371 24.665912c8.813893 28.592078 13.953873 47.541073 15.422439 56.841991 1.141385 7.225444 2.584976 24.576 4.330771 52.059161 2.100449 33.040234-22.980059 61.524917-56.020293 63.622868a60.316098 60.316098 0 0 1-3.801288 0.12238h-0.29721c-31.943805 0-57.838517-25.894712-57.838517-57.838517 0-1.878166 0.09241-3.756332 0.272234-5.624507l9.995239-102.275122c1.75079-17.917502 16.811083-31.574166 34.803513-31.574166z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M426.975532 166.872039a14.830517 14.780566 90 1 0 29.561131 0 14.830517 14.780566 90 1 0-29.561131 0Z" fill="#7BFFFB"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M434.57561 412.097561m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M437.073171 399.609756m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M439.678127 708.170927c-46.339746 1.570966-81.403005-26.566556-82.961483-73.181034-0.149854-4.455649 1.705834-50.580605 6.366283-84.342634 2.442615-17.692722 7.295376-53.482771 14.558283-107.355161 3.59399-26.653971-14.563278-51.367337-41.07239-55.907903-34.568741-5.91922-58.273093-10.359883-71.113054-13.32199C238.36722 367.81081 219.785366 348.751922 219.785366 321.386146c0-27.428215 24.755824-42.093893 51.961756-43.934595 83.485971-0.247259 126.299161-0.247259 128.439571 0l98.908409-0.222283c63.885112 0 115.669541 52.094127 115.669542 116.356371v148.297678c0 38.577327 25.287805 72.594107 62.234224 83.708254 19.700761 5.926712 31.264468 9.188527 34.688625 9.780449 49.966205 8.634068 75.521249 0.72679 108.166868 7.580097 7.727454 1.61842 33.397385 13.789034-5.352273 25.829776-38.157737 11.853424-119.136156 31.434302-206.917932 39.389034-58.525346 5.302322-114.488195 5.302322-167.906029 0z" fill="#70C56E"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M439.678127 708.170927c53.415337 5.302322 109.380683 5.302322 167.906029 0 87.779278-7.957229 168.7552-27.53561 206.917932-39.389034 38.749659-12.035746 13.072234-24.206361 5.352273-25.829776-32.638127-6.853307-58.200663 1.053971-108.166868-7.580097-3.424156-0.591922-14.987863-3.853737-34.688625-9.780449-36.94642-11.109151-62.234224-45.125932-62.234224-83.708254v-148.297678c0-64.262244-51.784429-116.356371-115.669542-116.356371l-98.910907 0.222283c-2.14041-0.247259-44.956098-0.247259-128.439571 0C244.54119 279.289756 219.785366 293.955434 219.785366 321.386146c0 27.365776 18.586849 46.424663 45.675395 52.676059 12.839961 2.962107 36.544312 7.402771 71.113054 13.32199 26.509112 4.538068 44.66638 29.253932 41.07239 55.907903-7.262907 53.874888-12.115668 89.662439-14.558283 107.355161-4.660449 33.762029-6.516137 79.88199-6.366283 84.342634 1.558478 46.614478 36.619239 74.752 82.956488 73.181034z m-97.934361-72.68402c-0.362146-10.814439 2.694868-59.337054 6.498654-86.887648 2.440117-17.672741 7.29038-53.447805 14.553287-107.307708 2.515044-18.659278-10.195044-35.957385-28.751922-39.134283-34.838478-5.966673-58.750127-10.447298-71.954731-13.491824C227.572761 380.698224 204.8 355.275551 204.8 321.386146c0-34.473834 28.659512-56.364956 65.93561-58.884995 81.887532-0.272234 120.649678-0.294712 129.416117-0.027473l98.943375-0.229776c72.177015 0 130.654907 58.822556 130.654908 131.341737v148.297678a72.436761 72.436761 0 0 0 51.564644 69.359766c18.819122 5.661971 30.395317 8.921288 32.925346 9.360858 20.7872 3.591493 34.463844 4.318283 60.81561 4.228371 12.317971-0.042459 17.545366 0.01998 24.356214 0.414595 8.271922 0.477034 15.869502 1.426107 23.524527 3.034537 9.373346 1.970576 20.167805 7.789893 24.885698 16.606283 4.637971 8.676527 2.769795 18.5344-4.565542 25.71239-5.174946 5.065054-13.092215 9.00121-24.306263 12.485307-53.292956 16.556332-134.253893 33.142634-210.009912 40.010927-59.087298 5.354771-115.679532 5.384741-169.76921 0.079922-54.931356 1.41362-95.629112-33.844449-97.427356-87.689366z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M441.756098 186.700176c-10.926829 0-19.775688-8.881327-19.775688-19.825639 0-10.94681 8.851356-18.30962 19.775688-18.30962 10.926829 0 19.775688 7.36281 19.775687 18.30962 0 10.944312-8.848859 19.825639-19.775687 19.825639z m0-9.990244c5.402224 0 9.785444-4.400702 9.785443-9.835395 0-5.43719-4.385717-9.353366-9.785443-9.353366s-9.785444 3.916176-9.785444 9.353366a9.807922 9.807922 0 0 0 9.785444 9.835395z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M449.560976 674.341463m-9.990244 0a9.990244 9.990244 0 1 0 19.980488 0 9.990244 9.990244 0 1 0-19.980488 0Z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M452.058537 422.087805m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M457.053659 457.053659m-7.492683 0a7.492683 7.492683 0 1 0 14.985365 0 7.492683 7.492683 0 1 0-14.985365 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M458.826927 274.814127a13.801522 13.801522 0 1 0-3.351727-9.295922l10.232507 1.488546-6.88078 7.807376z" fill="#232323"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M468.217756 287.719024l0.229776-1.078946c1.073951-5.057561 5.34478-8.142049 9.216-7.317854 3.873717 0.824195 6.518634 5.377249 5.442185 10.432313l-0.229776 1.081443a7.492683 7.492683 0 0 0 14.658186 3.114459l0.229775-1.078946c2.729834-12.842459-4.667941-25.587512-16.983414-28.207454-12.317971-2.617444-24.261307 6.019122-26.991142 18.861581l-0.229775 1.078946A7.492683 7.492683 0 1 0 468.217756 287.719024z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M468.260215 287.793951c-0.257249 1.20882-0.412098 2.422634-0.474537 3.636449-0.574439 11.338927 7.36281 21.621385 18.844098 24.061502 12.839961 2.729834 25.380215-5.282341 28.047609-17.832585l0.424586-2.005541 14.660683 3.114458-0.424586 2.008039c-4.398205 20.689795-24.933151 33.814478-45.820253 29.373815-18.669268-3.968624-31.6416-20.774712-30.695025-39.476449 0.099902-2.008039 0.359649-4.008585 0.781737-5.994146l14.655688 3.114458z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M474.339278 713.673054c1.236293-6.908254-3.441639-13.49682-10.447298-14.718127l-11.1616-1.940605c-7.005659-1.21881-13.684137 3.394185-14.920429 10.307434l-5.864273 32.805464a14.982868 14.982868 0 0 1-17.388019 12.118165l-0.059942-0.00999-20.005463-3.663922c-6.94322-1.203824-13.459356 3.291785-14.665678 10.037698-1.21881 6.815844 3.361717 13.33198 10.262478 14.595746l45.036019 8.241951c0.761756 0.289717 1.563473 0.512 2.397659 0.656859l11.1616 1.940605a12.982322 12.982322 0 0 0 5.544585-0.229776c4.667941-1.148878 8.449249-4.90521 9.340878-9.880351 0.012488-0.089912 3.60398-20.177795 10.769483-60.261151z" fill="#6FCB6C"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M477.326361 500.246478c-31.943805 9.8304-55.937873 16.646244-71.992195 20.445034-16.044332 3.806283-34.159141 6.960702-54.341932 9.478244-1.583454 6.378771-4.782829 10.744507-9.585639 13.099707-7.202966 3.531551-20.025444 10.389854-29.026654 8.266927-9.008702-2.117932-15.35001-4.490615-20.027941-17.587824-4.680429-13.092215-1.683356-26.678946 3.87122-32.580683 5.557073-5.901737 17.343063-10.085151 24.703375-11.628644 4.907707-1.026498 10.574673 0.541971 17.000898 4.7104 24.408663-11.34642 43.297717-19.490966 56.669658-24.431141 13.371941-4.940176 37.183688-12.577717 71.445229-22.90763" fill="#70C56E"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M480.780488 263.492683m-43.707317 0a43.707317 43.707317 0 1 0 87.414634 0 43.707317 43.707317 0 1 0-87.414634 0Z" fill="#FFFFFF"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M480.780488 314.692683C452.503102 314.692683 429.580488 291.770068 429.580488 263.492683S452.503102 212.292683 480.780488 212.292683 531.980488 235.215298 531.980488 263.492683 509.052878 314.692683 480.780488 314.692683z m0-14.985366C500.778459 299.707317 516.995122 283.493151 516.995122 263.492683S500.778459 227.278049 480.780488 227.278049 444.565854 243.492215 444.565854 263.492683 460.777522 299.707317 480.780488 299.707317z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M485.376 232.46798c31.049678 6.601054 50.787902 37.353522 44.1344 68.657952a7.492683 7.492683 0 0 1-14.658185-3.111961c4.942673-23.249795-9.673054-46.015063-32.590674-50.887805s-45.530537 9.985249-50.470712 33.230049l-29.658536 89.912195a7.492683 7.492683 0 0 1-14.228605-4.70041l29.318868-88.743337c6.835824-31.067161 37.241132-50.925268 68.155942-44.356683z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M489.521951 424.585366m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M497.014634 454.556098m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M504.507317 477.034146m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M505.484473 519.909852m-9.89302-1.390373a9.990244 9.990244 0 1 0 19.786039 2.780747 9.990244 9.990244 0 1 0-19.786039-2.780747Z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M521.990244 459.55122m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M528.234146 473.287805m-6.243902 0a6.243902 6.243902 0 1 0 12.487805 0 6.243902 6.243902 0 1 0-12.487805 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M529.263121 521.41563c14.488046 2.379169 36.155912 3.883382 65.003597 4.51264 2.024311 6.251801 5.517388 10.379598 10.472199 12.397534 7.429898 3.016491 20.70288 8.962654 29.537133 6.221823 8.829307-2.741527 14.995601-5.557186 18.750902-18.943871 3.755301-13.386685-0.182211-26.73471-6.13603-32.232317-5.951345-5.497259-18.000214-8.84764-25.450312-9.871984-4.965908-0.68278-10.510371 1.279525-16.633043 5.884443-27.607151-10.245727-48.672878-17.541822-63.178476-21.895744L504.994293 453.678557" fill="#70C56E"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M539.473171 494.517073m-2.497561 0a2.497561 2.497561 0 1 0 4.995122 0 2.497561 2.497561 0 1 0-4.995122 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M545.717073 515.746341m-6.243902 0a6.243902 6.243902 0 1 0 12.487805 0 6.243902 6.243902 0 1 0-12.487805 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M563.2 573.190244m-6.243902 0a6.243902 6.243902 0 1 0 12.487804 0 6.243902 6.243902 0 1 0-12.487804 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M564.44878 534.478049m-2.49756 0a2.497561 2.497561 0 1 0 4.995121 0 2.497561 2.497561 0 1 0-4.995121 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M578.187863 686.020059c-10.83442 12.248039-15.037815 33.589698-11.506263 52.54119 3.29678 17.697717 2.747317 24.203863-1.690849 26.089522a4.995122 4.995122 0 1 0 3.906186 9.196019c6.066576-2.57998 9.146068-7.827356 9.767961-15.187668 0.459551-5.379746-0.257249-11.69358-2.162888-21.928585-3.009561-16.149229 0.581932-34.383922 9.168546-44.094439a4.990127 4.990127 0 0 0-0.434576-7.048118 4.982634 4.982634 0 0 0-7.048117 0.432079z" fill="#52C7D7"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M579.434146 611.902439m-4.995122 0a4.995122 4.995122 0 1 0 9.990244 0 4.995122 4.995122 0 1 0-9.990244 0Z" fill="#646092"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M601.91522 545.263244l1.171267 0.477352 1.292188 0.532178c1.115772 0.459464 1.981933 0.810707 2.873174 1.162952 3.911071 1.548419 7.249444 2.721264 10.579059 3.615447 7.078763 1.907858 13.222756 2.337537 18.665415 0.650966 13.365551-4.15195 19.712861-9.691263 23.744926-24.07816 4.199926-14.971133 0.514794-31.658265-8.266021-39.760023-6.536423-6.035987-18.594757-10.288091-29.51375-11.789868-6.096533-0.839157-12.335179 0.912093-18.702902 4.927708-25.808747-9.528911-45.706148-16.398509-59.734249-20.614704L507.636279 446.670182a7.492683 7.492683 0 1 0-5.284668 14.021696l36.631977 13.811723 0.493809 0.16524c14.32215 4.295353 35.252851 11.54725 62.726366 21.738887a7.482693 7.482693 0 0 0 7.111985-1.038337c4.676271-3.5194 8.367879-4.824061 11.104341-4.447043 8.155324 1.120935 17.591807 4.449698 21.389349 7.954448 4.371297 4.034321 6.760979 14.864652 4.006037 24.70461-2.521987 8.98996-4.888037 11.055956-13.764643 13.811013-2.186237 0.678888-5.735144 0.42981-10.322965-0.807661-2.684979-0.7254-5.531281-1.720638-8.947421-3.075916-1.298873-0.520507-5.660478-2.308792-5.21961-2.125771-2.774898-1.126441-4.787953-3.510272-6.169833-7.765073a7.492683 7.492683 0 0 0-6.961864-5.180255c-28.526242-0.619391-49.886769-2.10311-63.950458-4.415073a7.492683 7.492683 0 0 0-2.428994 14.788741c14.061911 2.306669 34.415101 3.797619 61.169824 4.495914 2.871608 5.606683 7.125044 9.690015 12.695709 11.955919z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M603.103532 677.783102c-16.761132 26.069541-19.341112 45.100956-15.242615 70.770888 1.393639 8.726478 1.426107 8.971239 1.513522 11.393873 0.554459 15.936937-7.272898 30.270439-19.403551 31.614127-16.68121 1.845698-41.047415-11.383883-55.713093-31.36437-4.38322-5.971668-6.516137-11.626146-10.047688-24.775805a380.453463 380.453463 0 0 0-1.893151-6.895766c-5.781854-20.112859-13.809015-32.753015-31.331902-43.597425a7.49518 7.49518 0 0 0-7.8848 12.745054c13.91641 8.609093 19.975493 18.152273 24.815766 34.995824 0.514498 1.790751 0.826693 2.934634 1.823219 6.641015 4.001093 14.887961 6.611044 21.813698 12.440351 29.753444 17.600312 23.98158 46.896702 39.888546 69.442186 37.390985 21.603902-2.392663 33.524761-24.213854 32.728039-47.029073-0.117385-3.361717-0.142361-3.511571-1.693347-13.234575-3.566517-22.3232-1.478556-37.708176 13.049756-60.306108a7.492683 7.492683 0 1 0-12.602692-8.102088z" fill="#524F75"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M609.404878 681.834146c-24.775805 38.542361-13.079727 62.424039-12.540254 77.851474 0.536976 15.429932-6.755902 37.183688-26.067044 39.3216-19.306146 2.137912-46.20238-12.065717-62.57639-34.378927-16.376507-22.310712-7.340332-52.391337-41.177288-73.328391" fill="#6ED8E6"/>
hue.captains.singapura.js.homing.demo.es.animation.CuteAnimal [no-literal-color] literal colour (use a theme token var(--...), not a baked hex/rgb): <path d="M612.334517 695.713093c-2.172878-6.750907-9.348371-10.4448-16.031844-8.251942l-10.647102 3.494088c-6.680976 2.192859-10.339902 9.438283-8.169522 16.186693l10.522224 32.705561a14.987863 14.987863 0 0 1-9.575649 18.824117l-17.825092 5.876761c-6.578576 2.167883-10.170068 9.305912-8.034654 15.951922 2.145405 6.64601 9.211005 10.264976 15.7696 8.102087l54.883902-18.092331c6.578576-2.167883 10.170068-9.305912 8.034654-15.951922-0.022478-0.084917-6.333815-19.700761-18.926517-58.845034z" fill="#6FCB6C"/>
